亜,sub-,a,"亜 - a - sub-; -ous (indicating a low oxidation state), -ite
亜鉛 - aen - zinc (Zn)
東亜 - toua - East Asia, the Orient"
宛,allocate,a,"宛先 - atesaki - address, destination
宛名 - atena - (addressee's) name, (recipient's) name and address"
挨,push open,ai,"挨拶 - aisatsu - greeting, greetings, salutation, salute, polite set phrase used when meeting or parting from somebody; polite set phrase used to express apology, sympathy, congratulations, etc."
愛,love,ai,"愛 - ai - love, affection, care; attachment, craving, desire
可愛い - kawaii - cute, adorable, charming, lovely, pretty; dear, precious, darling, pet
恋愛 - ren'ai - love, love-making, passion, emotion, affections"
曖,not clear,ai,"曖昧 - aimai - vague, ambiguous, unclear; fuzzy"
案,plan,an,"提案 - teian - proposal, proposition, suggestion
案内 - annai - guidance, leading (the way), showing around; information, notice, notification
案 - an - idea, plan, proposal, suggestion, (government) bill; draft, rough copy"
嵐,storm,arashi,"嵐 - arashi - storm, tempest; storm, hullaballoo, uproar, winds (e.g. of change)
砂嵐 - sunaarashi - sandstorm; noise (video), snow
青嵐 - aoarashi - wind blowing through fresh verdure; mountain air"
圧,pressure,atsu,"圧力 - atsuryoku - pressure, stress; pressure (e.g. political), coercion, arm-twisting
圧倒的 - attouteki - overwhelming
圧 - atsu - pressure, force"
扱,handle,atsuka,"扱い - atsukai - treatment, service
扱う - atsukau - to deal with (a person), to treat, to handle, to take care of, to entertain; to deal with (a problem), to handle, to manage
取り扱い - toriatsukai - treatment, service, handling, management"
婆,old woman,ba,"婆 - baba - old woman; joker (card)
老婆 - rouba - old woman
娑婆 - shaba - this world, this life; the free world (outside of prison, the army, red light district, etc.)"
倍,double,bai,"倍 - bai - twice, double; times, -fold
倍増 - baizou - double
倍率 - bairitsu - magnification, leverage, amplification, scaling factor, scale factor; acceptance rate, pass rate (of an exam, etc.)"
陪,obeisance,bai,"陪審 - baishin - jury
陪席 - baiseki - sitting with one's superior, in attendance"
媒,mediator,bai,"媒体 - baitai - medium, media
媒介 - baikai - intermediary
触媒 - shokubai - catalyst"
賠,compensation,bai,"賠償 - baishou - compensation, reparations, indemnity, damages"
漠,vague,baku,"砂漠 - sabaku - desert
サハラ砂漠 - saharasabaku - Sahara Desert
茫漠 - boubaku - boundless, vast, vague, obscure"
爆,explode,baku,"爆発 - bakuhatsu - explosion, detonation, eruption; eruption (of discontent, etc.), outburst, outpouring
被爆 - hibaku - being bombed; being A-bombed, being nuked, being exposed to radiation (from an atomic blast)
爆弾 - bakudan - bomb; alcohol with liquor added (esp. wine-based shochu highball, also beer with whiskey)"
晩,nightfall,ban,"晩 - ban - evening; counter for nights
昨晩 - sakuban - last night
毎晩 - maiban - every night"
番,one's turn,ban,"一番 - ichiban - number one, first, first place; best, most
番組 - bangumi - program (e.g. TV), programme
番 - ban - number (in a series); (one's) turn"
蛮,barbarian,ban,"野蛮 - yaban - savage, barbarous, barbaric, uncivilized, uncivilised
南蛮 - nanban - exotic (esp. Western European or South-East Asian style); (in dance, puppetry, etc.) thrusting the right foot and right arm forward at the same time (or left foot and left arm)
蛮行 - bankou - act of barbarity, brutality, barbarism"
盤,tray,ban,"盤 - ban - disk, disc, record, clock face; tray, shallow bowl
基盤 - kiban - foundation, basis, base, footing, infrastructure; bedrock
中盤 - chuuban - middle (stage)"
伐,fell,batsu,"討伐 - toubatsu - subjugation (using military force), suppression, subduing
伐採 - bassai - felling timber, cutting down trees, logging, lumbering
間伐 - kanbatsu - periodic thinning (e.g. forest)"
閥,clique,batsu,"派閥 - habatsu - clique, faction
財閥 - zaibatsu - zaibatsu, financial conglomerate, industrial group
閥 - batsu - clique, clan, faction"
弁,valve,ben,"弁当 - bentou - bento
弁護士 - bengoshi - lawyer, attorney
弁 - ben - speech, tongue, talk, eloquence; dialect, brogue, accent"
勉,exertion,ben,"勉強 - benkyou - study; diligence
勤勉 - kinben - diligent, industrious
勉学 - bengaku - study, pursuit of knowledge"
微,delicate,bi,"微妙 - bimyou - subtle, delicate, fine; difficult, complex, tricky, delicate (situation, position, etc.), close (e.g. decision)
微 - bi - minuteness; one millionth
微か - kasuka - faint, dim, weak, slight, vague, indistinct, hazy; poor, wretched, meagre, meager, scanty"
敏,cleverness,bin,"敏感 - binkan - sensitive, alert, aware, susceptible
過敏 - kabin - nervousness, oversensitivity
鋭敏 - eibin - sharp, keen, acute"
瓶,flower pot,bin,"瓶 - bin - bottle, jar, decanter, flagon, phial, vial
瓶詰め - binzume - bottling, bottled
花瓶 - kabin - (flower) vase"
簿,register,bo,"名簿 - meibo - register of names, list of names, roll, register, roster
簿記 - boki - journalization (accounts), journalisation, bookkeeping
帳簿 - choubo - account book, register, ledger"
朴,crude,boku,"素朴 - soboku - simple, artless, naive, unsophisticated
朴 - hoo - Japanese bigleaf magnolia (Magnolia obovata)
朴訥 - bokutotsu - unsophisticated, ruggedly honest, artless, unaffected, simple, naive"
睦,harmonious,boku,"親睦 - shinboku - friendship, amity
和睦 - waboku - reconciliation, peace, rapprochement"
僕,me,boku,"僕 - shimobe - servant, manservant, menial
僕ら - bokura - we
僕たち - bokutachi - we"
撲,slap,boku,"相撲 - sumou - sumo wrestling
大相撲 - oozumou - professional sumo wrestling
撲滅 - bokumetsu - eradication, extermination, destruction, suppression"
凡,mediocre,bon,"平凡 - heibon - ordinary, common, commonplace, mediocre, unremarkable, undistinguished, uneventful
凡人 - bonjin - ordinary person, average person, mediocre person
凡庸 - bon'you - mediocre, ordinary, commonplace, banal"
盆,basin,bon,"お盆 - obon - O-Bon, Bon Festival, Lantern Festival, Festival of the Dead; tray
盆 - bon - tray; family, household
盆踊り - bon'odori - Bon Festival dance, Lantern Festival dance"
没,drown,botsu,"没 - botsu - death; lacking, without
没頭 - bottou - immersing oneself in, being absorbed in, devoting oneself to, giving oneself up entirely to
沈没 - chinbotsu - sinking, foundering, going down, submersion; getting dead drunk"
勃,rise,botsu,"勃起 - bokki - erection (usu. penis), standing erect, stiffening
勃発 - boppatsu - outbreak (e.g. of war), outburst, sudden occurrence
勃興 - bokkou - sudden rise to power, sudden rise in prosperity"
坊,boy,bou,"坊 - bou - bonze, monk; monk's dwelling
坊主 - bouzu - Buddhist priest, bonze; close-cropped hair, crew cut, person with a shorn head
赤ん坊 - akanbou - baby, infant"
肪,obese,bou,"脂肪 - shibou - fat, grease, blubber, lard, suet
脂肪酸 - shibousan - fatty acid
皮下脂肪 - hikashibou - subcutaneous fat"
某,so-and-so,bou,"某 - bou - certain, one
某所 - bousho - certain place
某氏 - boushi - a certain person, unnamed person, Mr. So-and-so, a certain someone who shall remain unnamed"
剖,divide,bou,"解剖 - kaibou - dissection, autopsy; analysis"
帽,cap,bou,"帽子 - boushi - hat, cap
帽 - bou - hat, cap
脱帽 - datsubou - removing one's hat; admiring someone greatly, ""taking off one's hat"" to someone"
棒,rod,bou,"棒 - bou - pole, rod, stick
相棒 - aibou - partner, pal, accomplice
泥棒 - dorobou - thief, burglar, robber; theft, burglary, robbery"
貿,trade,bou,貿易 - boueki - trade (foreign)
貌,appearance,bou,"変貌 - henbou - transfiguration, transformation, change of appearance
全貌 - zenbou - whole story, full picture, full particulars
風貌 - fuubou - looks, appearance"
部,part,bu,"部分 - bubun - portion, section, part
部 - bu - department (in an organization), division, bureau; club
部屋 - heya - room, chamber; apartment, flat, pad"
秒,second (part of time),byou,"秒 - byou - second (unit of time); arc second
毎秒 - maibyou - every second
秒読み - byouyomi - countdown"
嫡,legitimate wife,chaku,"嫡子 - chakushi - legitimate child
嫡出 - chakushutsu - legitimate birth"
痴,stupid,chi,"愚痴 - guchi - idle complaint, grumble; moha (ignorance, folly)
音痴 - onchi - tone-deafness, amusia, having no ear for music; tone-deaf, off-key
痴 - chi - foolishness, fool; moha (ignorance, folly)"
