千,thousand,,"千 (せん): 1,000, thousand
千葉 (ちば): Chiba (city)
千秋楽 (せんしゅうらく): concluding festivities, concluding program, concluding programme
千切り (せんぎり): finely cut strips (of vegetables), shredded vegetables
千里 (せんり): 1000 ri, (a) long distance"
舌,"kanji component: tongue",した,"舌 (した): tongue
舌鼓 (したつづみ): smacking one's lips
饒舌 (じょうぜつ): garrulity, loquacity, talkativeness
毒舌 (どくぜつ): wicked tongue, abusive language
筆舌 (ひつぜつ): written and spoken words, description"
話,talk,,"話 (はなし): talk, speech, chat, story, conversation
電話 (でんわ): telephone call, phone call
話し (はなし): talk, speech, chat, story, conversation
お話 (おはなし): story, tale
話題 (わだい): topic, subject"
身,"kanji component: body",み,"自身 (じしん): (one's) self, oneself
身 (み): body
身体 (からだ): body
中身 (あてみ): blow to a vital point of a person's body, striking techniques (judo)
出身 (しゅっしん): person's origin (e.g. city, country, parentage, school)"
戸,door,,"神戸 (こうべ): Kobe (city)
江戸 (えど): Edo (old name of Tokyo)
戸 (と): door (esp. Japanese-style)
戸惑い (とまどい): being at sea, losing one's bearings, confusion, wonderment
井戸 (いど): water well"
斤,"kanji component: axe",おのづくり,"斤量 (きんりょう): weight
斤 (きん): kin, catty, traditional unit of weight, 600g"
所,place,,"場所 (ばしょ): place, location, spot, position
所 (ところ): place, spot, scene, site
近所 (きんじょ): neighbourhood, neighborhood
事務所 (じむしょ): office
所有 (しょゆう): one's possessions, ownership"
先,previous,,"先 (さき): previous, prior, former, first, earlier, some time ago, preceding
先生 (せんせい): teacher, master, doctor
先日 (せんじつ): the other day, a few days ago
先週 (せんしゅう): last week, the week before
優先 (ゆうせん): preference, priority, precedence"
力,"kanji component: power",ちから,"力 (ちから): force, strength, might, vigour (vigor), energy
入力 (にゅうりょく): input, (data) entry
能力 (のうりょく): ability, faculty
協力 (きょうりょく): cooperation, collaboration
魅力 (みりょく): charm, fascination, glamour, glamor, attraction, appeal"
五,five,,"五 (ご): five
五月 (ごがつ): May
五輪 (ごりん): Olympic rings, Olympics
五感 (ごかん): the five senses
五つ (いつつ): five"
明,bright,,"説明 (せつめい): explanation, exposition
明日 (あした): tomorrow
明らか (あきらか): obvious, evident, clear, plain
不明 (ふめい): unclear, obscure, indistinct, uncertain, ambiguous
証明 (しょうめい): proof, verification, certification"
弋,"kanji component: javelin",いぐるみ,
代,substitute,,"時代 (じだい): period, epoch, era, age
代 (しろ): substitution
代表 (だいひょう): representative, representation, delegation, type, example, model
現代 (げんだい): nowadays, modern era, modern times, present-day
年代 (ねんだい): age, era, period, date"
犬,"kanji component: dog",いぬ,"犬 (いぬ): dog (Canis (lupus) familiaris)
愛犬 (あいけん): pet dog, beloved dog
子犬 (こいぬ): puppy
狛犬 (こまいぬ): (stone) guardian lion-dogs at Shinto shrine
柴犬 (しばいぬ): shiba (Japanese breed of dog), shiba inu, brushwood dog"
然,so,,"自然 (しぜん): nature
当然 (とうぜん): natural, as a matter of course, justified, deserved, reasonable
全然 (ぜんぜん): not at all (with neg. verb)
突然 (とつぜん): abrupt, sudden, unexpected
偶然 (ぐうぜん): coincidence, chance, accident, fortuity"
用,"kanji component: to use",もちいる,"用 (よう): business, task, errand, engagement
利用 (りよう): use, utilization, utilisation, application
使用 (しよう): use, application, employment, utilization, utilisation
用意 (ようい): preparation, arrangements, provision, getting ready, laying out (e.g. a meal)
活用 (かつよう): practical use, application"
廴,"kanji component: to move, stretch",えんにょう,
辶,"kanji component: walk. variant of ⻌",チャク,
通,"pass through",,"普通 (ふつう): general, ordinary, usual
通り (とおり): avenue, street, way, road
通常 (つうじょう): usual, ordinary, normal, regular, general, common
通信 (つうしん): correspondence, communication, transmission, news, signal, telecommunications
共通 (きょうつう): common, shared, mutual"
耳,"kanji component: ear",みみ,"耳 (みみ): ear
耳鳴り (みみなり): buzzing in the ears, tinnitus
耳障り (みみざわり): hard (on the ears), offensive (to the ear), rasping, rough, harsh, grating, jarring, cacophonous
耳鼻 (じび): nose and ears
耳元 (みみもと): close to the ear"
聞,hear,,"聞く (きく): to hear
聞き (きき): hearing, audible sound
新聞 (しんぶん): newspaper
聞こえ (きこえ): being able to hear something (clearly), clearness of a sound, reception (e.g. of a radio station)
聞こえる (きこえる): to be heard, to be audible"
衣,"kanji component: clothing",ころも,"衣装 (いしょう): clothing, costume, outfit, garment, dress
衣 (ころも): clothes, garment
浴衣 (ゆかた): yukata (light cotton kimono worn in the summer or used as a bathrobe)
衣類 (いるい): clothes, clothing, garments
衣服 (いふく): clothes"
艮,"kanji component: boundary",こん,"艮 (ごん): gen (one of the trigrams of the I Ching: mountain, northeast)"
長,long,,"長い (ながい): long (distance)
長 (たけ): height, stature
成長 (せいちょう): growth, development, growing up, becoming an adult
社長 (しゃちょう): company president, manager, director
長期 (ちょうき): long-term"
少,few,,"少し (すこし): small quantity, little, few, something
少ない (すくない): few, a little, scarce, insufficient, seldom
もう少し (もうすこし): a bit more, a bit longer
少なくとも (すくなくとも): at least
多少 (たしょう): more or less, somewhat, a little, a few, some"
己,"kanji component: self",おのれ,"自己 (じこ): self, oneself
己 (おのれ): I, me
利己 (りこ): self-interest
自己流 (じこりゅう): one's own style, self-taught manner
知己 (ちき): acquaintance, appreciative friend"
